,name,emotion
56,Ses03F_impro07_F007,exc
64,Ses03F_impro07_F008,exc
72,Ses03F_impro07_F009,exc
80,Ses03F_impro07_F010,xxx
88,Ses03F_impro07_F011,exc
96,Ses03F_impro07_F012,hap
104,Ses03F_impro07_F013,hap
112,Ses03F_impro07_F014,exc
120,Ses03F_impro07_F015,neu
128,Ses03F_impro07_F016,exc
136,Ses03F_impro07_F017,hap
144,Ses03F_impro07_F018,xxx
152,Ses03F_impro07_F019,hap
160,Ses03F_impro07_F020,exc
168,Ses03F_impro07_F021,exc
176,Ses03F_impro07_F022,exc
184,Ses03F_impro07_F023,hap
192,Ses03F_impro07_F024,xxx
200,Ses03F_impro07_F025,hap
208,Ses03F_impro07_F026,exc
216,Ses03F_impro07_F027,exc
224,Ses03F_impro07_F028,exc
232,Ses03F_impro07_F029,exc
240,Ses03F_impro07_F030,xxx
248,Ses03F_impro07_F031,neu
256,Ses03F_impro07_F032,hap
264,Ses03F_impro07_F033,xxx
272,Ses03F_impro07_F034,hap
280,Ses03F_impro07_F035,hap
288,Ses03F_impro07_M000,neu
296,Ses03F_impro07_M001,neu
304,Ses03F_impro07_M002,xxx
312,Ses03F_impro07_M003,neu
320,Ses03F_impro07_M004,neu
328,Ses03F_impro07_M005,xxx
336,Ses03F_impro07_M006,xxx
344,Ses03F_impro07_M007,xxx
352,Ses03F_impro07_M008,exc
360,Ses03F_impro07_M009,sur
368,Ses03F_impro07_M010,xxx
376,Ses03F_impro07_M011,exc
384,Ses03F_impro07_M012,neu
392,Ses03F_impro07_M013,exc
400,Ses03F_impro07_M014,exc
408,Ses03F_impro07_M015,exc
416,Ses03F_impro07_M016,xxx
424,Ses03F_impro07_M017,sur
432,Ses03F_impro07_M018,sur
440,Ses03F_impro07_M019,exc
448,Ses03F_impro07_M020,xxx
456,Ses03F_impro07_M021,neu
464,Ses03F_impro07_M022,exc
472,Ses03F_impro07_M023,neu
480,Ses03F_impro07_M024,xxx
488,Ses03F_impro07_M025,neu
496,Ses03F_impro07_M026,exc
504,Ses03F_impro07_M027,exc
512,Ses03F_impro07_M028,exc
520,Ses03F_impro07_M029,exc
528,Ses03F_impro07_M030,xxx
536,Ses03F_impro07_M031,xxx
544,Ses03F_impro07_M032,exc
552,Ses03F_impro07_M033,neu
560,Ses03F_impro07_M034,hap
568,Ses03F_impro07_M035,hap
0,Ses03F_impro08_F000,neu
8,Ses03F_impro08_F001,neu
16,Ses03F_impro08_F002,neu
24,Ses03F_impro08_F003,neu
32,Ses03F_impro08_F004,neu
40,Ses03F_impro08_F005,neu
48,Ses03F_impro08_F006,neu
56,Ses03F_impro08_F007,neu
64,Ses03F_impro08_F008,neu
72,Ses03F_impro08_F009,neu
80,Ses03F_impro08_F010,neu
88,Ses03F_impro08_F011,neu
96,Ses03F_impro08_F012,neu
104,Ses03F_impro08_F013,neu
112,Ses03F_impro08_F014,neu
120,Ses03F_impro08_F015,neu
128,Ses03F_impro08_F016,neu
136,Ses03F_impro08_F017,fru
144,Ses03F_impro08_F018,fru
152,Ses03F_impro08_F019,fru
160,Ses03F_impro08_F020,neu
168,Ses03F_impro08_F021,neu
176,Ses03F_impro08_F022,neu
184,Ses03F_impro08_F023,neu
192,Ses03F_impro08_F024,neu
200,Ses03F_impro08_F025,neu
208,Ses03F_impro08_F026,neu
216,Ses03F_impro08_F027,neu
224,Ses03F_impro08_F028,neu
232,Ses03F_impro08_F029,neu
240,Ses03F_impro08_M000,ang
248,Ses03F_impro08_M001,xxx
256,Ses03F_impro08_M002,xxx
264,Ses03F_impro08_M003,xxx
272,Ses03F_impro08_M004,fru
280,Ses03F_impro08_M005,xxx
288,Ses03F_impro08_M006,ang
296,Ses03F_impro08_M007,ang
304,Ses03F_impro08_M008,ang
312,Ses03F_impro08_M009,ang
320,Ses03F_impro08_M010,ang
328,Ses03F_impro08_M011,ang
336,Ses03F_impro08_M012,ang
344,Ses03F_impro08_M013,xxx
352,Ses03F_impro08_M014,ang
360,Ses03F_impro08_M015,ang
368,Ses03F_impro08_M016,fru
376,Ses03F_impro08_M017,fru
384,Ses03F_impro08_M018,fru
392,Ses03F_impro08_M019,fru
400,Ses03F_impro08_M020,xxx
408,Ses03F_impro08_M021,neu
416,Ses03F_impro08_M022,xxx
424,Ses03F_impro08_M023,xxx
432,Ses03F_impro08_M024,xxx
440,Ses03F_impro08_M025,xxx
448,Ses03F_impro08_M026,fru
0,Ses03F_script01_1_F000,xxx
7,Ses03F_script01_1_F001,xxx
14,Ses03F_script01_1_F002,xxx
21,Ses03F_script01_1_F003,xxx
28,Ses03F_script01_1_F004,neu
35,Ses03F_script01_1_F005,neu
42,Ses03F_script01_1_F006,xxx
49,Ses03F_script01_1_F007,neu
56,Ses03F_script01_1_F008,xxx
63,Ses03F_script01_1_F009,xxx
70,Ses03F_script01_1_F010,neu
77,Ses03F_script01_1_F011,fru
84,Ses03F_script01_1_F012,fru
91,Ses03F_script01_1_F013,fru
98,Ses03F_script01_1_F014,neu
105,Ses03F_script01_1_F015,xxx
112,Ses03F_script01_1_F016,xxx
119,Ses03F_script01_1_F017,ang
126,Ses03F_script01_1_F018,fru
133,Ses03F_script01_1_F019,neu
140,Ses03F_script01_1_F020,xxx
147,Ses03F_script01_1_F021,neu
154,Ses03F_script01_1_F022,fru
161,Ses03F_script01_1_F023,fru
168,Ses03F_script01_1_F024,fru
175,Ses03F_script01_1_F025,fru
182,Ses03F_script01_1_F026,fru
189,Ses03F_script01_1_F027,xxx
196,Ses03F_script01_1_F028,fru
203,Ses03F_script01_1_F029,fru
210,Ses03F_script01_1_F030,neu
217,Ses03F_script01_1_F031,neu
224,Ses03F_script01_1_F032,fru
231,Ses03F_script01_1_F033,xxx
238,Ses03F_script01_1_F034,fru
245,Ses03F_script01_1_F035,fru
252,Ses03F_script01_1_F036,fru
259,Ses03F_script01_1_F037,fru
266,Ses03F_script01_1_F038,fru
273,Ses03F_script01_1_F039,fru
280,Ses03F_script01_1_F040,fru
287,Ses03F_script01_1_F041,xxx
294,Ses03F_script01_1_F042,xxx
301,Ses03F_script01_1_F043,fru
308,Ses03F_script01_1_F044,fru
315,Ses03F_script01_1_F045,neu
322,Ses03F_script01_1_F046,neu
329,Ses03F_script01_1_F047,fru
336,Ses03F_script01_1_F048,fru
343,Ses03F_script01_1_F049,fru
350,Ses03F_script01_1_F050,neu
357,Ses03F_script01_1_F051,xxx
364,Ses03F_script01_1_F052,neu
371,Ses03F_script01_1_F053,neu
378,Ses03F_script01_1_M000,neu
385,Ses03F_script01_1_M001,neu
392,Ses03F_script01_1_M002,neu
399,Ses03F_script01_1_M003,neu
406,Ses03F_script01_1_M004,neu
413,Ses03F_script01_1_M005,neu
420,Ses03F_script01_1_M006,neu
427,Ses03F_script01_1_M007,neu
434,Ses03F_script01_1_M008,neu
441,Ses03F_script01_1_M009,neu
448,Ses03F_script01_1_M010,xxx
455,Ses03F_script01_1_M011,fru
462,Ses03F_script01_1_M012,fru
469,Ses03F_script01_1_M013,fru
476,Ses03F_script01_1_M014,fru
483,Ses03F_script01_1_M015,fru
490,Ses03F_script01_1_M016,neu
497,Ses03F_script01_1_M017,neu
504,Ses03F_script01_1_M018,neu
511,Ses03F_script01_1_M019,fru
518,Ses03F_script01_1_M020,neu
525,Ses03F_script01_1_M021,ang
532,Ses03F_script01_1_M022,ang
539,Ses03F_script01_1_M023,xxx
546,Ses03F_script01_1_M024,xxx
553,Ses03F_script01_1_M025,xxx
560,Ses03F_script01_1_M026,sad
567,Ses03F_script01_1_M027,ang
574,Ses03F_script01_1_M028,neu
581,Ses03F_script01_1_M029,neu
588,Ses03F_script01_1_M030,neu
595,Ses03F_script01_1_M031,neu
602,Ses03F_script01_1_M032,fru
609,Ses03F_script01_1_M033,fru
616,Ses03F_script01_1_M034,neu
623,Ses03F_script01_1_M035,fru
630,Ses03F_script01_1_M036,neu
637,Ses03F_script01_1_M037,fru
644,Ses03F_script01_1_M038,fru
651,Ses03F_script01_1_M039,fru
658,Ses03F_script01_1_M040,xxx
665,Ses03F_script01_1_M041,neu
672,Ses03F_script01_1_M042,neu
679,Ses03F_script01_1_M043,xxx
686,Ses03F_script01_1_M044,fru
693,Ses03F_script01_1_M045,ang
700,Ses03F_script01_1_M046,ang
707,Ses03F_script01_1_M047,neu
714,Ses03F_script01_1_M048,neu
721,Ses03F_script01_1_M049,neu
728,Ses03F_script01_1_M050,neu
735,Ses03F_script01_1_M051,fru
742,Ses03F_script01_1_M052,neu
749,Ses03F_script01_1_M053,neu
0,Ses03F_script01_2_F000,ang
6,Ses03F_script01_2_F001,ang
12,Ses03F_script01_2_F002,ang
18,Ses03F_script01_2_F003,xxx
24,Ses03F_script01_2_F004,ang
30,Ses03F_script01_2_F005,xxx
36,Ses03F_script01_2_F006,ang
42,Ses03F_script01_2_F007,xxx
48,Ses03F_script01_2_F008,xxx
54,Ses03F_script01_2_F009,xxx
60,Ses03F_script01_2_F010,xxx
66,Ses03F_script01_2_F011,sad
72,Ses03F_script01_2_F012,xxx
78,Ses03F_script01_2_F013,ang
84,Ses03F_script01_2_F014,xxx
90,Ses03F_script01_2_F015,ang
96,Ses03F_script01_2_F016,ang
102,Ses03F_script01_2_F017,xxx
108,Ses03F_script01_2_F018,sad
114,Ses03F_script01_2_F019,xxx
120,Ses03F_script01_2_F020,sad
126,Ses03F_script01_2_F021,sad
132,Ses03F_script01_2_M000,xxx
138,Ses03F_script01_2_M001,neu
144,Ses03F_script01_2_M002,xxx
150,Ses03F_script01_2_M003,neu
156,Ses03F_script01_2_M004,neu
162,Ses03F_script01_2_M005,fru
168,Ses03F_script01_2_M006,neu
174,Ses03F_script01_2_M007,neu
180,Ses03F_script01_2_M008,neu
186,Ses03F_script01_2_M009,neu
192,Ses03F_script01_2_M010,fru
198,Ses03F_script01_2_M011,ang
204,Ses03F_script01_2_M012,fru
210,Ses03F_script01_2_M013,ang
216,Ses03F_script01_2_M014,ang
222,Ses03F_script01_2_M015,ang
228,Ses03F_script01_2_M016,ang
234,Ses03F_script01_2_M017,ang
240,Ses03F_script01_2_M018,ang
0,Ses03F_script01_3_F000,hap
6,Ses03F_script01_3_F001,hap
12,Ses03F_script01_3_F002,hap
18,Ses03F_script01_3_F003,sad
24,Ses03F_script01_3_F004,xxx
30,Ses03F_script01_3_F005,fru
36,Ses03F_script01_3_F006,xxx
42,Ses03F_script01_3_F007,xxx
48,Ses03F_script01_3_F008,sad
54,Ses03F_script01_3_F009,xxx
60,Ses03F_script01_3_F010,xxx
66,Ses03F_script01_3_F011,hap
72,Ses03F_script01_3_F012,hap
78,Ses03F_script01_3_F013,hap
84,Ses03F_script01_3_F014,hap
90,Ses03F_script01_3_F015,xxx
96,Ses03F_script01_3_F016,xxx
102,Ses03F_script01_3_F017,xxx
108,Ses03F_script01_3_F018,hap
114,Ses03F_script01_3_F019,xxx
120,Ses03F_script01_3_F020,xxx
126,Ses03F_script01_3_F021,hap
132,Ses03F_script01_3_F022,xxx
138,Ses03F_script01_3_F023,hap
144,Ses03F_script01_3_F024,xxx
150,Ses03F_script01_3_F025,sad
156,Ses03F_script01_3_F026,sad
162,Ses03F_script01_3_F027,sad
168,Ses03F_script01_3_F028,sad
174,Ses03F_script01_3_F029,sad
180,Ses03F_script01_3_F030,sad
186,Ses03F_script01_3_F031,sad
192,Ses03F_script01_3_F032,sad
198,Ses03F_script01_3_F033,sad
204,Ses03F_script01_3_F034,xxx
210,Ses03F_script01_3_F035,hap
216,Ses03F_script01_3_M000,hap
222,Ses03F_script01_3_M001,neu
228,Ses03F_script01_3_M002,xxx
234,Ses03F_script01_3_M003,neu
240,Ses03F_script01_3_M004,neu
246,Ses03F_script01_3_M005,xxx
252,Ses03F_script01_3_M006,hap
258,Ses03F_script01_3_M007,xxx
264,Ses03F_script01_3_M008,xxx
270,Ses03F_script01_3_M009,hap
276,Ses03F_script01_3_M010,hap
282,Ses03F_script01_3_M011,hap
288,Ses03F_script01_3_M012,hap
294,Ses03F_script01_3_M013,hap
300,Ses03F_script01_3_M014,hap
306,Ses03F_script01_3_M015,hap
312,Ses03F_script01_3_M016,xxx
318,Ses03F_script01_3_M017,sur
324,Ses03F_script01_3_M018,hap
330,Ses03F_script01_3_M019,hap
336,Ses03F_script01_3_M020,hap
342,Ses03F_script01_3_M021,hap
348,Ses03F_script01_3_M022,xxx
354,Ses03F_script01_3_M023,hap
360,Ses03F_script01_3_M024,hap
366,Ses03F_script01_3_M025,sad
372,Ses03F_script01_3_M026,neu
378,Ses03F_script01_3_M027,sad
384,Ses03F_script01_3_M028,sad
390,Ses03F_script01_3_M029,sad
396,Ses03F_script01_3_M030,sad
402,Ses03F_script01_3_M031,sad
408,Ses03F_script01_3_M032,sad
414,Ses03F_script01_3_M033,sad
420,Ses03F_script01_3_M034,sad
426,Ses03F_script01_3_M035,sad
432,Ses03F_script01_3_M036,sad
438,Ses03F_script01_3_M037,sad
444,Ses03F_script01_3_M038,sad
450,Ses03F_script01_3_M039,sad
456,Ses03F_script01_3_M040,sad
462,Ses03F_script01_3_M041,sad
468,Ses03F_script01_3_M042,sad
474,Ses03F_script01_3_M043,sad
480,Ses03F_script01_3_M044,xxx
486,Ses03F_script01_3_M045,hap
492,Ses03F_script01_3_M046,hap
0,Ses03F_script02_1_F000,sad
6,Ses03F_script02_1_F001,xxx
12,Ses03F_script02_1_F002,xxx
18,Ses03F_script02_1_F003,ang
24,Ses03F_script02_1_F004,xxx
30,Ses03F_script02_1_F005,xxx
36,Ses03F_script02_1_F006,xxx
42,Ses03F_script02_1_F007,xxx
48,Ses03F_script02_1_F008,xxx
54,Ses03F_script02_1_F009,xxx
60,Ses03F_script02_1_F010,sad
66,Ses03F_script02_1_F011,sad
72,Ses03F_script02_1_F012,ang
78,Ses03F_script02_1_F013,fru
84,Ses03F_script02_1_F014,fru
90,Ses03F_script02_1_F015,xxx
96,Ses03F_script02_1_F016,xxx
102,Ses03F_script02_1_F017,fru
108,Ses03F_script02_1_F018,fru
114,Ses03F_script02_1_F019,xxx
120,Ses03F_script02_1_F020,xxx
126,Ses03F_script02_1_F021,xxx
132,Ses03F_script02_1_M000,exc
138,Ses03F_script02_1_M001,exc
144,Ses03F_script02_1_M002,exc
150,Ses03F_script02_1_M003,exc
156,Ses03F_script02_1_M004,exc
162,Ses03F_script02_1_M005,exc
168,Ses03F_script02_1_M006,exc
174,Ses03F_script02_1_M007,xxx
180,Ses03F_script02_1_M008,xxx
186,Ses03F_script02_1_M009,exc
192,Ses03F_script02_1_M010,exc
198,Ses03F_script02_1_M011,exc
204,Ses03F_script02_1_M012,xxx
210,Ses03F_script02_1_M013,exc
216,Ses03F_script02_1_M014,exc
222,Ses03F_script02_1_M015,exc
228,Ses03F_script02_1_M016,exc
234,Ses03F_script02_1_M017,neu
240,Ses03F_script02_1_M018,sur
246,Ses03F_script02_1_M019,neu
252,Ses03F_script02_1_M020,neu
258,Ses03F_script02_1_M021,exc
264,Ses03F_script02_1_M022,neu
270,Ses03F_script02_1_M023,neu
276,Ses03F_script02_1_M024,xxx
282,Ses03F_script02_1_M025,xxx
288,Ses03F_script02_1_M026,xxx
294,Ses03F_script02_1_M027,xxx
300,Ses03F_script02_1_M028,xxx
306,Ses03F_script02_1_M029,xxx
312,Ses03F_script02_1_M030,sur
318,Ses03F_script02_1_M031,xxx
324,Ses03F_script02_1_M032,xxx
330,Ses03F_script02_1_M033,xxx
336,Ses03F_script02_1_M034,fru
342,Ses03F_script02_1_M035,xxx
348,Ses03F_script02_1_M036,exc
354,Ses03F_script02_1_M037,xxx
360,Ses03F_script02_1_M038,exc
366,Ses03F_script02_1_M039,exc
372,Ses03F_script02_1_M040,exc
378,Ses03F_script02_1_M041,exc
384,Ses03F_script02_1_M042,exc
390,Ses03F_script02_1_M043,xxx
396,Ses03F_script02_1_M044,neu
0,Ses03F_script02_2_F000,neu
7,Ses03F_script02_2_F001,xxx
14,Ses03F_script02_2_F002,xxx
21,Ses03F_script02_2_F003,xxx
28,Ses03F_script02_2_F004,xxx
35,Ses03F_script02_2_F005,ang
42,Ses03F_script02_2_F006,fru
49,Ses03F_script02_2_F007,xxx
56,Ses03F_script02_2_F008,fru
63,Ses03F_script02_2_F009,xxx
70,Ses03F_script02_2_F010,xxx
77,Ses03F_script02_2_F011,xxx
84,Ses03F_script02_2_F012,ang
91,Ses03F_script02_2_F013,fru
98,Ses03F_script02_2_F014,fru
105,Ses03F_script02_2_F015,fru
112,Ses03F_script02_2_F016,sad
119,Ses03F_script02_2_F017,sad
126,Ses03F_script02_2_F018,sad
133,Ses03F_script02_2_F019,hap
140,Ses03F_script02_2_F020,hap
147,Ses03F_script02_2_F021,hap
154,Ses03F_script02_2_F022,sad
161,Ses03F_script02_2_F023,hap
168,Ses03F_script02_2_F024,sad
175,Ses03F_script02_2_F025,sad
182,Ses03F_script02_2_F026,sad
189,Ses03F_script02_2_F027,sad
196,Ses03F_script02_2_F028,sad
203,Ses03F_script02_2_F029,fru
210,Ses03F_script02_2_F030,fru
217,Ses03F_script02_2_F031,ang
224,Ses03F_script02_2_F032,fru
231,Ses03F_script02_2_F033,fru
238,Ses03F_script02_2_F034,fru
245,Ses03F_script02_2_F035,ang
252,Ses03F_script02_2_F036,sad
259,Ses03F_script02_2_F037,xxx
266,Ses03F_script02_2_F038,sad
